['CEDO4.SA', 0.03504425694840815, 0.22062750660596311, [['high', 0.4978185601162344], ['low', 0.08704443295796713], ['null', 0.013878795594880075]], [['high', 0.37248592115848755], ['low', 0.36202735317779566], ['null', 0.26548672566371684]], 1243]
['CEEB3.SA', 0.09705791596047748, 0.2936817380776359, [['high', 1.0332502228873117], ['low', 0.3671283135047326], ['null', 0.0057737303338218264]], [['null', 0.6181672025723473], ['high', 0.22508038585209003], ['low', 0.1567524115755627]], 1244]
['CEED3.SA', -0.034384550246517216, 0.17255833565181816, [['high', 3.190784641340667], ['low', 0.6066666158040365], ['null', 0.005604295722053002]], [['null', 0.8986323411102172], ['low', 0.06033789219629927], ['high', 0.04102976669348351]], 1243]
['CEED4.SA', -0.0035720021132011138, 0.013861627801233784, [['high', 2.153750419616699], ['low', 0.0], ['null', 0.0]], [['null', 0.9887369267900241], ['high', 0.006436041834271922], ['low', 0.004827031375703942]], 1243]
['CEGR3.SA', -0.009090914615008107, 0.08302493720695268, [['high', 5.874666341145834], ['low', 0.6239131429921025], ['null', 0.0006058087487438408]], [['null', 0.9694288012872083], ['low', 0.01850362027353178], ['high', 0.012067578439259855]], 1243]
['CGAS3.SA', 0.2290586746228096, 0.6301367676075869, [['high', 6.049831935337612], ['low', 0.41927423784809725], ['null', 0.011339996337890625]], [['null', 0.8045052292839904], ['low', 0.0997586484312148], ['high', 0.09573612228479485]], 1243]
['CGRA3.SA', 0.042427699282238336, 0.3624839782714844, [['high', 0.6449909175207855], ['low', 0.17291356208629177], ['null', 0.04443116102389947]], [['high', 0.43810289389067525], ['low', 0.42765273311897106], ['null', 0.1342443729903537]], 1244]
['CGRA4.SA', -0.024070748945524453, 0.4336846833060409, [['high', 0.6776910775328335], ['low', 0.2192180517948035], ['null', 0.19037691752115884]], [['low', 0.5040192926045016], ['high', 0.4694533762057878], ['null', 0.02652733118971061]], 1244]
['CIEL3.SA', -0.005852096142109567, 0.0936254040604619, [['high', 0.15402620651302265], ['low', 0.04757912287229224], ['null', 0.05320516305092054]], [['low', 0.5080385852090032], ['high', 0.4292604501607717], ['null', 0.06270096463022508]], 1244]
['CLSC3.SA', -0.021995185367157645, 0.13783587626843133, [['high', 1.1987377648214692], ['low', 0.33645470359108665], ['null', 0.010533967990319706]], [['null', 0.82864038616251], ['low', 0.08849557522123894], ['high', 0.08286403861625101]], 1243]
['CLSC4.SA', 0.0011655893356470432, 0.6745176805943921, [['high', 1.1076882624584405], ['low', 0.322896898085474], ['null', 0.15032245266822078]], [['low', 0.49115755627009644], ['high', 0.4590032154340836], ['null', 0.04983922829581994]], 1244]
['CMIG3.SA', -0.004802268992666263, 0.16215677506670692, [['high', 0.2508844969025694], ['low', 0.08131394856305874], ['null', 0.10790714850792518]], [['low', 0.5056270096463023], ['high', 0.4734726688102894], ['null', 0.02090032154340836]], 1244]
['CMIG4.SA', -0.0033648585199926445, 0.11414475475476869, [['high', 0.16774571515236722], ['low', 0.06299022453530681], ['null', 0.08251833915710449]], [['low', 0.4959807073954984], ['high', 0.4847266881028939], ['null', 0.01929260450160772]], 1244]
['COCE3.SA', -0.03020916767688116, 0.0698391031279069, [['high', 2.7953575679234097], ['low', 0.3284612802358774], ['null', 0.0]], [['null', 0.9565567176186646], ['high', 0.02252614641995173], ['low', 0.02091713596138375]], 1243]
['CPLE3.SA', -0.002944533081300006, 0.09341076907620936, [['high', 0.13615465331789897], ['low', 0.05734115997577124], ['null', 0.058055493566724986]], [['low', 0.5136655948553055], ['high', 0.45739549839228294], ['null', 0.028938906752411574]], 1244]
['CSAN3.SA', -0.013241553229917668, 0.30558078158706714, [['high', 0.4632330458042985], ['low', 0.16110328441494506], ['null', 0.2593331019083659]], [['low', 0.5136655948553055], ['high', 0.4742765273311897], ['null', 0.012057877813504822]], 1244]
['CSMG3.SA', -0.011741724044946996, 0.2638611931509527, [['high', 0.37098430307119484], ['low', 0.1654981917618586], ['null', 0.15370390150282118]], [['low', 0.5136655948553055], ['high', 0.4790996784565916], ['null', 0.007234726688102894]], 1244]
['CSRN3.SA', 0.08654866790157696, 0.17576829522056917, [['high', 0.7589803471284754], ['low', 0.1919047643267919], ['null', 0.0008816730118682933]], [['null', 0.6934835076427996], ['high', 0.20514883346741755], ['low', 0.10136765888978279]], 1243]
